ESTABILIDAD;07/10/2025 09:56:05;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-13.79; -11.96; 1006.50; -273.70;  13.83; 1383.64;   1.12;  -0.28;   5.55; 18047.00; 19988.00; 20001.00; 19999.00; 19998.00; 20002.00;   0.97; 1006.67; 199650.00;   0.50;
-14.40; -10.13; 1006.99; -378.70; 140.70; 1020.51;   1.12;  -0.28;   5.53; 69037.00; 20001.00; 19995.00; 19998.00; 19999.00; 19999.00;   0.97; 1007.14; 199650.00;   0.50;
-14.40;  -9.15; 1007.96; -768.08; -156.80; 854.26;   1.11;  -0.28;   5.52; 48342.00; 20003.00; 19997.00; 20001.00; 19997.00; 19999.00;   0.97; 1008.11; 199650.00;   0.50;
-14.40;  -9.15; 1007.96; -28.70; -261.80; 613.64;   1.12;  -0.32;   5.51; 148533.00; 19999.00; 20003.00; 19997.00; 19999.00; 19999.00;   0.97; 1008.11; 199650.00;   0.50;
-13.91; -17.32; 1006.99; -1958.07; 403.20; 989.89;   1.14;  -0.47;   5.48; 38899.00; 20002.00; 19996.00; 20004.00; 19995.00; 19998.00;   0.97; 1007.23; 199650.00;   0.50;
-13.30; -19.76; 1007.48; 1113.18;  22.58; 915.51;   1.13;  -0.47;   5.46; 13118.00; 19999.00; 19999.00; 20000.00; 19998.00; 20004.00;   0.98; 1007.76; 199650.00;   0.50;
09:56:12
-13.91; -19.03; 1008.94; -811.83;  70.70; 793.01;   1.11;  -0.38;   5.43; 64290.00; 19996.00; 20001.00; 20001.00; 19997.00; 20023.00;   0.97; 1009.22; 199650.00;   0.50;
-13.05; -17.93; 1007.35; -1787.45; -99.92; 736.14;   1.09;  -0.32;   5.43; 39679.00; 19974.00; 20001.00; 20001.00; 20003.00; 19995.00;   0.98; 1007.60; 195604.00;   0.50;
-13.05; -17.93; 1007.35; 2285.68; -489.30; -335.74;   1.08;  -0.42;   5.46; 140224.00; 19998.00; 19999.00; 19999.00; 19999.00; 20000.00;   0.98; 1007.60; 195604.00;   0.50;
-13.05; -17.93; 1007.35; 815.67; -104.30;  88.64;   1.11;  -0.50;   5.48; 239795.00; 20011.00; 19987.00; 20044.00; 19956.00; 19998.00;   0.98; 1007.60; 195604.00;   0.50;
58.56; 295.61; 990.52; -1363.07; 302.58; 434.26;   1.12;  -0.44;   5.51; 339871.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;   0.89; 1035.34; 195604.00;   0.50;
-13.54; -16.59; 1007.96; 763.17;  83.83; -243.86;   1.11;  -0.40;   5.53; 18578.00; 19999.00; 19999.00; 19999.00; 20002.00; 19998.00;   0.98; 1008.19; 195604.00;   0.50;
-13.66; -15.49; 1008.33; 1366.93; -108.67; -515.11;   1.12;  -0.47;   5.56; 27966.00; 19998.00; 19999.00; 19999.00; 20000.00; 20002.00;   0.98; 1008.54; 195604.00;   0.50;
-13.66; -15.49; 1008.33; -641.20; 158.20;  31.76;   1.15;  -0.50;   5.58; 127831.00; 19997.00; 19998.00; 19999.00; 19999.00; 19999.00;   0.98; 1008.54; 195604.00;   0.50;
-13.91; -14.88; 1007.11; -811.83; 298.20; 219.89;   1.16;  -0.46;   5.60; 32979.00; 20004.00; 19998.00; 19999.00; 20001.00; 19997.00;   0.97; 1007.32; 195604.00;   0.50;
-14.40; -16.84; 1008.57; 920.67;  96.95;  97.39;   1.16;  -0.45;   5.62; 30435.00; 19999.00; 19998.00; 19999.00; 20002.00; 20001.00;   0.97; 1008.82; 195604.00;   0.50;
09:56:13
-13.66; -11.22; 1009.06; 133.18;   9.45; 294.26;   1.15;  -0.43;   5.61; 71186.00; 19999.00; 20001.00; 19997.00; 19998.00; 19999.00;   0.98; 1009.22; 195604.00;   0.50;
-13.91; -10.25; 1007.72; -776.83;  57.58; 456.14;   1.16;  -0.37;   5.61; 95472.00; 20002.00; 19997.00; 19999.00; 19999.00; 20003.00;   0.97; 1007.87; 195366.00;   0.50;
-14.40;  -8.54; 1007.48; -339.33;  53.20; 648.64;   1.16;  -0.35;   5.61; 14079.00; 19997.00; 19999.00; 20001.00; 20001.00; 19999.00;   0.97; 1007.62; 195366.00;   0.50;
-14.03;  -8.30; 1007.23; 211.93;   5.08; 377.39;   1.16;  -0.36;   5.62; 1775.00; 20001.00; 19996.00; 19999.00; 19999.00; 20004.00;   0.97; 1007.36; 195366.00;   0.50;
-14.88;  -7.20; 1008.33; 373.80;  22.58; 250.51;   1.18;  -0.38;   5.64; 82123.00; 19997.00; 19998.00; 19998.00; 19999.00; 19999.00;   0.97; 1008.47; 195366.00;   0.50;
-14.52;  -6.59; 1006.87; 233.80;  57.58; 618.01;   1.21;  -0.35;   5.65; 13090.00; 19999.00; 19999.00; 19999.00; 19999.00; 20000.00;   0.97; 1006.99; 195366.00;   0.50;
-14.52;  -6.59; 1006.87; 312.55; 477.58; 526.14;   1.24;  -0.34;   5.65; 112920.00; 20002.00; 19997.00; 19999.00; 19998.00; 19999.00;   0.97; 1006.99; 195366.00;   0.50;
-17.81;  30.74; 1006.62; 544.42; 446.95; 320.51;   1.28;  -0.32;   5.64; 11813.00; 20002.00; 19997.00; 20003.00; 19997.00; 20002.00;   0.97; 1007.25; 195366.00;   0.50;
-17.81;  34.65; 1003.82; 106.93; 341.95; 167.39;   1.34;  -0.32;   5.65; 88013.00; 20001.00; 19994.00; 19999.00; 20003.00; 19997.00;   0.97; 1004.57; 195366.00;   0.50;
-16.23;  34.77; 1006.26; -41.82; 149.45; 464.89;   1.40;  -0.30;   5.65; 47694.00; 20001.00; 20002.00; 19995.00; 20002.00; 19997.00;   0.97; 1006.99; 195366.00;   0.50;
09:56:14
-15.37;  31.48; 1007.60; -89.95; 149.45; 346.76;   1.40;  -0.29;   5.65; 64569.00; 20001.00; 20000.00; 20002.00; 19995.00; 19998.00;   0.97; 1008.21; 195366.00;   0.50;
-15.25;  27.45; 1007.23; -396.20; -78.05;  14.26;   1.38;  -0.26;   5.68; 67306.00; 20000.00; 20003.00; 19995.00; 20003.00; 19994.00;   0.97; 1007.72; 196311.00;   0.50;
-15.25;  27.45; 1007.23; -479.33; -288.05; -300.74;   1.35;  -0.25;   5.72; 167956.00; 19999.00; 19999.00; 20035.00; 19973.00; 19990.00;   0.97; 1007.72; 196311.00;   0.50;
