ESTABILIDAD;02/10/2025 09:50:14;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
79.79; -53.68; 1008.94; 760.03; -7834.49; -15447.95; -14.83;  12.47; -66.05; 43406.00; 20000.00; 20030.00; 19971.00; 19996.00; 19999.00;   0.86; 1013.51; 194987.00;   0.50;
88.94; -45.87; 1000.89; 1595.65; -8223.86; -15395.45; -15.01;  12.97; -68.11; 10131.00; 20003.00; 19996.00; 19999.00; 19998.00; 20004.00;   0.84; 1005.88; 194987.00;   0.50;
09:50:22
101.14; -37.45; 1004.79; 1180.03; -8215.11; -15084.83; -15.22;  13.47; -70.12; 30411.00; 19996.00; 20003.00; 19996.00; 20002.00; 20001.00;   0.82; 1010.56; 194987.00;   0.50;
119.44;  25.01; 1010.53; 1744.40; -9068.24; -14949.20; -15.51;  13.99; -72.03; 10123.00; 19996.00; 20054.00; 19948.00; 19996.00; 20003.00;   0.79; 1017.87; 194987.00;   0.50;
120.05;  24.77; 1008.57; 2868.77; -9230.11; -15789.20; -15.94;  14.43; -73.77; 38241.00; 19996.00; 19999.00; 19999.00; 19999.00; 20000.00;   0.78; 1016.00; 194987.00;   0.50;
119.56;  29.28; 997.96; 414.40; -7856.36; -16567.95; -16.36;  14.80; -75.44; 47437.00; 19998.00; 19999.00; 20000.00; 20001.00; 20002.00;   0.78; 1005.52; 194987.00;   0.50;
121.27;  45.51; 996.74; -1646.22; -7488.86; -14752.33; -16.75;  15.18; -77.01; 16573.00; 19994.00; 20003.00; 19996.00; 19999.00; 19999.00;   0.78; 1005.12; 199144.00;   0.50;
124.56;  48.43; 1011.87; -224.35; -8735.74; -10959.20; -17.18;  15.50; -78.38; 69109.00; 20028.00; 19971.00; 19998.00; 20002.00; 19996.00;   0.78; 1020.66; 199144.00;   0.50;
124.44;  48.56; 1002.72; 781.90; -7366.36; -10666.08; -17.61;  15.75; -79.59; 26575.00; 20004.00; 19996.00; 19998.00; 20025.00; 19974.00;   0.77; 1011.58; 199144.00;   0.50;
